transaction_id,prefecture,city_ward,latitude,longitude,nearest_station,distance_to_nearest_station_m,property_type,building_structure,build_year,total_floors_bldg,floor_number,exclusive_area_m2,floor_area_m2,land_area_m2,land_rights,zoning_use_district,transaction_date,ward_price_index_t,mortgage_rate_t
tx_0000000,千葉県,青葉区,34.39493860652042,133.2135911338874,千葉,616.0456307139754,マンション,RC,1976,6,2,43.3824373195297,43.3824373195297,0.0,所有権,第二種住居,2019-12-08,0.9232941736685578,0.010072586443015947
tx_0000001,千葉県,東区,39.09996657782621,139.1651440290978,名古屋,111.56852875359759,マンション,木造,2007,4,3,54.40322861280502,54.40322861280502,0.0,所有権,第一種住居,2024-11-23,0.973730114368142,0.007802250331064935
tx_0000002,東京都,渋谷区,35.722266924339074,139.79892804405495,品川,423.88013228734246,戸建て,RC,2014,2,0,60.0,73.68310775295495,128.6346853262756,所有権,第二種住居,2020-02-04,1.1607977958614093,0.009711364991814984
tx_0000003,大阪府,青葉区,41.50038577789799,134.94395741552023,なんば,339.9610249385686,戸建て,RC,2021,2,0,63.996535833411066,132.91753202313305,153.88837048366707,所有権,商業,2024-10-14,1.1746471839039614,0.008070694314852328
tx_0000004,東京都,品川区,35.58163778598819,139.77820643457045,東京,466.0868234896742,戸建て,SRC,1993,2,0,127.08367052007773,86.55372721748068,136.64462202444648,所有権,第一種住居,2023-01-04,1.1488929179906753,0.008435432257975741
tx_0000005,東京都,品川区,35.43606612469232,139.75907604821654,品川,414.87090023448843,マンション,SRC,1984,8,5,25.351515062821733,25.351515062821733,0.0,所有権,第一種住居,2024-08-26,1.1444416671584863,0.008167286532640077
tx_0000006,東京都,豊島区,35.45043915490838,139.613936197751,目黒,271.5602264115545,マンション,RC,2002,11,1,38.95445461556762,38.95445461556762,0.0,所有権,第二種住居,2019-01-16,1.148478821246461,0.009574596502427637
tx_0000007,東京都,渋谷区,35.3451448850272,139.8341209982357,恵比寿,286.09195452612664,マンション,RC,1995,14,9,77.85645629030041,77.85645629030041,0.0,所有権,近隣商業,2022-01-05,1.1191108708004656,0.008766588191070434
tx_0000008,神奈川県,中区,42.24693618278563,139.6507328871908,川崎,1279.083477734091,戸建て,RC,1988,2,0,68.3137938997408,77.4172729729859,197.496720250877,借地権,第一種住居,2022-07-18,1.1236889806632955,0.008584804469069245
tx_0000009,神奈川県,港北区,38.80686621436455,134.09511043217918,博多,349.8191266800636,マンション,鉄骨,1991,4,2,74.29621164656871,74.29621164656871,0.0,所有権,商業,2022-02-05,1.1541872152838415,0.008779826434520332
tx_0000010,福岡県,花見区,33.93674767828092,134.04487383365378,横浜,1060.2005749760758,マンション,SRC,1983,16,4,35.91005476077159,35.91005476077159,0.0,所有権,商業,2019-12-19,0.973039343074019,0.010288656023356471
tx_0000011,神奈川県,中区,33.15456616528867,140.21150418846497,神戸,336.7016899383298,戸建て,SRC,1966,2,0,123.77002043295019,79.28527330751152,66.45537509694438,借地権,準工業,2021-05-10,1.1668397392089442,0.009096427450994695
tx_0000012,千葉県,北区,36.58646781296164,132.79580013976712,川崎,830.6436438568079,マンション,RC,2004,16,6,20.01861131656773,20.01861131656773,0.0,借地権,第一種住居,2024-11-16,0.9696173988094375,0.007806429708326805
tx_0000013,神奈川県,港北区,39.720261352951994,133.60967934222205,大宮,50.973230043240605,マンション,木造,1994,11,3,40.340977299125534,40.340977299125534,0.0,所有権,第一種住居,2024-02-02,1.1470442330726587,0.007710358467847449
tx_0000014,東京都,目黒区,35.366372711121485,139.88781474684566,表参道,1162.5064835621147,マンション,RC,2021,17,7,63.52051733668004,63.52051733668004,0.0,所有権,第二種住居,2024-02-28,1.1250131407870276,0.008106932634667715
tx_0000015,愛知県,東区,39.57111328500167,134.7924018854568,大宮,266.52801167445426,マンション,木造,2007,10,4,47.63100021826607,47.63100021826607,0.0,所有権,第一種住居,2021-05-23,0.9738659783928855,0.009195332357808318
tx_0000016,愛知県,東区,39.15850098052216,136.98603015954407,天神,1970.6831414464834,戸建て,RC,1991,2,0,128.23902160288011,104.41673577301356,73.37041717194595,所有権,第一種住居,2021-02-18,0.8932031381169543,0.008881081439741178
tx_0000017,東京都,文京区,35.612969835050784,139.82817073750851,表参道,652.8131559324976,マンション,SRC,1966,15,9,61.88136262804045,61.88136262804045,0.0,所有権,第一種住居,2024-08-06,1.1873606031665458,0.008118713428020528
